关系中文名称,关系英文名称,反关系中文名称,反关系英文名称,对象1中文名称,对象1英文名称,对象2中文名称,对象2英文名称
包含,includes,属于,isPartof,客户规模,CustomerScale,总客户规模,TotalCustomerScale
包含,includes,属于,isPartof,客户规模,CustomerScale,新客规模,NewCustomerScale
包含,includes,属于,isPartof,客户规模,CustomerScale,老客规模,ExistingCustomerScale
包含,includes,属于,isPartof,客户规模,CustomerScale,潜客规模,PotentialCustomerScale
包含,includes,属于,isPartof,客户规模,CustomerScale,宽带客户规模,BroadbandCustomerScale
包含,includes,属于,isPartof,客户规模,CustomerScale,权益客户规模,PrivilegeCustomerScale
包含,includes,属于,isPartof,客户规模,CustomerScale,融合客户规模,ConvergedCustomerScale
包含,includes,属于,isPartof,客户规模,CustomerScale,终端客户规模,TerminalCustomerScale
包含,includes,属于,isPartof,客户规模,CustomerScale,偏好客户,PreferenceCustomers
包含,includes,属于,isPartof,客户规模,CustomerScale,升档客户规模,UpgradedCustomerScale
包含,includes,属于,isPartof,客户规模,CustomerScale,降档客户规模,DowngradedCustomerScale
包含,includes,属于,isPartof,客户规模,CustomerScale,老客留存规模,ExistingCustomerRetentionScale
包含,includes,属于,isPartof,客户规模,CustomerScale,老客流失规模,ExistingCustomerChurnScale
包含,includes,属于,isPartof,客户维系,CustomerRetention,老客留存策略,ExistingCustomerRetentionStrategy
包含,includes,属于,isPartof,客户维系,CustomerRetention,升档策略规模,UpgradingStrategyScale
包含,includes,属于,isPartof,客户维系,CustomerRetention,挽回量,RecoveryVolume
包含,includes,属于,isPartof,客户行为,CustomerBehavior,客户使用,CustomerUsage
包含,includes,属于,isPartof,客户行为,CustomerBehavior,客户体验,CustomerExperience
包含,includes,属于,isPartof,客户行为,CustomerBehavior,流失风险,ChurnRisk
包含,includes,属于,isPartof,客户行为,CustomerBehavior,异网侵扰量,CompetitorInvasionVolume
包含,includes,属于,isPartof,客户行为,CustomerBehavior,到期续约,RenewalUponExpiration
包含,includes,属于,isPartof,流失与拆机,ChurnandDisconnection,携出量,PortoutVolume
包含,includes,属于,isPartof,流失与拆机,ChurnandDisconnection,电信携出,ChinaTelecomPortout
包含,includes,属于,isPartof,流失与拆机,ChurnandDisconnection,联通携出,ChinaUnicomPortout
包含,includes,属于,isPartof,流失与拆机,ChurnandDisconnection,拆机量,DisconnectionVolume
包含,includes,属于,isPartof,流失与拆机,ChurnandDisconnection,离网量,ChurnVolume
包含,includes,属于,isPartof,收入影响,RevenueImpact,总收入规模,TotalRevenueScale
包含,includes,属于,isPartof,收入影响,RevenueImpact,老客收入,ExistingCustomerRevenue
包含,includes,属于,isPartof,收入影响,RevenueImpact,宽带客户收入,BroadbandCustomerRevenue
包含,includes,属于,isPartof,收入影响,RevenueImpact,权益客户收入,PrivilegeCustomerRevenue
包含,includes,属于,isPartof,收入影响,RevenueImpact,融合客户收入,ConvergedCustomerRevenue
包含,includes,属于,isPartof,收入影响,RevenueImpact,终端客户收入,TerminalCustomerRevenue
包含,includes,属于,isPartof,收入影响,RevenueImpact,升档客户收入,UpgradedCustomerRevenue
包含,includes,属于,isPartof,收入影响,RevenueImpact,降档客户收入,DowngradedCustomerRevenue
包含,includes,属于,isPartof,收入影响,RevenueImpact,老客留存收入,ExistingCustomerRetentionRevenue
包含,includes,属于,isPartof,收入影响,RevenueImpact,老客流失收入,ExistingCustomerChurnRevenue
包含,includes,属于,isPartof,收入影响,RevenueImpact,客户使用收入,CustomerUsageRevenue
包含,includes,属于,isPartof,收入影响,RevenueImpact,携出金额,PortingOutAmount
包含,includes,属于,isPartof,收入影响,RevenueImpact,拆机收入影响,RevenueImpactofServiceCancellation
包含,includes,属于,isPartof,收入影响,RevenueImpact,离网收入影响,RevenueImpactofChurn
包含,includes,属于,isPartof,拆机量,DisconnectionVolume,全球通拆机意向客户占比,ProportionofGoToneCustomerswithServiceCancellationIntent
包含,includes,属于,isPartof,拆机量,DisconnectionVolume,全球通拆机意向规模,ScaleofGoToneServiceCancellationIntent
包含,includes,属于,isPartof,拆机量,DisconnectionVolume,全球通拆机意向工单数,NumberofWorkOrdersforGoToneServiceCancellationIntent
包含,includes,属于,isPartof,拆机量,DisconnectionVolume,全球通拆机意向分公司工单数,NumberofWorkOrdersforGoToneServiceCancellationIntentbyBranch
包含,includes,属于,isPartof,拆机量,DisconnectionVolume,全球通拆机率,GoToneServiceCancellationRate
包含,includes,属于,isPartof,拆机量,DisconnectionVolume,全球通拆机规模,GlobalSystemDisconnectionScale
包含,includes,属于,isPartof,拆机量,DisconnectionVolume,拆机处理及时率,TimelinessRateofServiceCancellationProcessing
包含,includes,属于,isPartof,拆机量,DisconnectionVolume,拆机接通率,ServiceCancellationConnectionRate
包含,includes,属于,isPartof,拆机收入影响,RevenueImpactofServiceCancellation,拆机金额,ServiceCancellationAmount
包含,includes,属于,isPartof,到期续约,RenewalUponExpiration,全球通融合客户到期续约数,NumberofRenewedGoToneConvergedCustomersUponExpiration
包含,includes,属于,isPartof,到期续约,RenewalUponExpiration,全球通融合客户到期续约率,RenewalRateofGoToneConvergedCustomersUponExpiration
包含,includes,属于,isPartof,到期续约,RenewalUponExpiration,全球通宽带客户到期续约数,NumberofRenewedGoToneBroadbandCustomersUponExpiration
包含,includes,属于,isPartof,到期续约,RenewalUponExpiration,全球通宽带客户到期续约率,RenewalRateofGoToneBroadbandCustomersUponExpiration
包含,includes,属于,isPartof,到期续约,RenewalUponExpiration,全球通权益客户到期续约数,NumberofRenewedGoToneBenefitCustomersUponExpiration
包含,includes,属于,isPartof,到期续约,RenewalUponExpiration,全球通权益客户到期续约率,RenewalRateofGoToneBenefitCustomersUponExpiration
包含,includes,属于,isPartof,到期续约,RenewalUponExpiration,全球通终端客户到期续约数,NumberofRenewedGoToneTerminalCustomersUponExpiration
包含,includes,属于,isPartof,到期续约,RenewalUponExpiration,全球通终端客户到期续约率,RenewalRateofGoToneTerminalCustomersUponExpiration
包含,includes,属于,isPartof,电信携出,ChinaTelecomPortout,全球通电信携出规模,GlobalSystemChinaTelecomPortoutScale
包含,includes,属于,isPartof,电信携出,ChinaTelecomPortout,全球通电信携出占比,ProportionofGoTonePortingOuttoChinaTelecom
包含,includes,属于,isPartof,降档客户规模,DowngradedCustomerScale,全球通降档规模,GlobalSystemDowngradeScale
包含,includes,属于,isPartof,降档客户规模,DowngradedCustomerScale,全球通降档率,GoToneDowngradingRate
包含,includes,属于,isPartof,降档客户规模,DowngradedCustomerScale,全球通降档总数量,TotalNumberofGoToneDowngrades
包含,includes,属于,isPartof,降档客户规模,DowngradedCustomerScale,全球通总降档率,TotalGoToneDowngradingRate
